position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
110,109,Ni Zugen,Ni,ni-zugen,no-pic,2590,61,appliances,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a9725ac4bbe6f0fa826ee2b/416x416.jpg?background=000000&cropX1=54&cropX2=1245&cropY1=217&cropY2=1408
111,111,Sze Man Bok,Sze,sze-man-bok,sze-man-bok,2580,69,hygiene products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/c3653c28ec41a0342432ee78a9d95c46/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=6&cropY2=747
112,112,Hui Lin Chit,Hui,hui-lin-chit,hui-lin-chit,2570,65,hygiene products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7cbadc31358e4955acf7c0/416x416.jpg?background=000000&cropX1=632&cropX2=3041&cropY1=5&cropY2=2412
113,113,Shen Wenrong,Shen,shen-wenrong,shen-wenrong,2530,72,steel production,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/5a7cec5ba7ea431690130cd9/416x416.jpg?background=000000&cropX1=14&cropX2=2681&cropY1=542&cropY2=3207
114,114,Lin Zhong,Lin,lin-zhong,no-pic,2520,50,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d2201a7ea431f321929d4/416x416.jpg?background=000000&cropX1=159&cropX2=602&cropY1=89&cropY2=532
115,115,Xu Bo,Xu,xu-bo,no-pic,2500,41,mobile games,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/59fb37f24bbe6f37dda19944/416x416.jpg?background=000000&cropX1=119&cropX2=741&cropY1=79&cropY2=701
116,116,Cho Tak Wong,Cho,cho-tak-wong,cho-tak-wong,2490,72,auto parts,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7e6847a7ea431690132502/416x416.jpg?background=000000&cropX1=339&cropX2=1769&cropY1=0&cropY2=1429
117,117,Yu Minhong,Yu,yu-minhong,yu-minhong,2440,57,education,Service,M,//specials-images.forbesimg.com/imageserve/5a7d1c54a7ea431690130e7f/416x416.jpg?background=000000&cropX1=681&cropX2=2599&cropY1=170&cropY2=2087
118,118,Wu Lanlan,Wu,wu-lanlan,no-pic-female,2420,45,packaging,Manufacturing,F,
119,119,Lei Jufang,Lei,lei-jufang,lei-jufang,2410,66,pharmaceuticals,Healthcare,F,//specials-images.forbesimg.com/imageserve/178c9756ea81a7e86d7fb10dd7be09b9/416x416.jpg?background=000000&cropX1=35&cropX2=719&cropY1=42&cropY2=727
120,120,Lam Kong,Lam,lam-kong,lam-kong,2390,54,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/18557d61bfcbfb0783aebace2f7f4d6b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
121,121,Wu Jianshu,Wu,wu-jianshu,no-pic,2380,55,auto parts,Automotive,M,
122,122,Chu Lam Yiu,Chu,chu-lam-yiu,chu-lam-yiu,2370,49,flavorings,Manufacturing,F,//specials-images.forbesimg.com/imageserve/913c271ffb6af89c53465bf2b73b8992/416x416.jpg?background=000000&cropX1=34&cropX2=623&cropY1=0&cropY2=590
123,122,Qiu Jianping,Qiu,qiu-jianping,qiu-jianping,2370,56,hand tools,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7ce9e3a7ea431690130cc5/416x416.jpg?background=000000&cropX1=730&cropX2=3332&cropY1=231&cropY2=2832
124,122,Zhu Xingliang,Zhu,zhu-xingliang,zhu-xingliang,2370,59,construction,Construction & Engineering,M,//specials-images.forbesimg.com/imageserve/f893b3ba5dfb8226119a6f70602a1477/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=121&cropY2=865
125,125,Xiao Wenge,Xiao,xiao-wenge,xiao-wenge,2360,52,entertainment,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/b503b236a2b585fd51be8e054fcf03b3/416x416.jpg?background=000000&cropX1=127&cropX2=739&cropY1=124&cropY2=736
126,126,Qi Shi,Qi,qi-shi,qi-shi,2330,49,financial information,Technology,M,//specials-images.forbesimg.com/imageserve/57a3b4d7a7ea4337c2cef3c2/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=5&cropY2=746
127,126,Zhu Gongshan,Zhu,zhu-gongshan,zhu-gongshan,2330,61,solar panel materials,Manufacturing,M,//specials-images.forbesimg.com/imageserve/6f98bef92dfa940abaa376847526947c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=66&cropY2=810
128,128,Gu Yuhua,Gu,gu-yuhua,no-pic,2320,69,furniture,Manufacturing,M,
129,128,Xiong Xuqiang,Xiong,xiong-xuqiang,xiong-xuqiang,2320,62,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/6ce9fb50a8c04c7a7738cc48510c1582/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=208&cropY2=952
130,128,Xue Xiangdong,Xue,xue-xiangdong,xue-xiangdong,2320,59,software,Technology,M,//specials-images.forbesimg.com/imageserve/5a7d1709a7ea431690130e31/416x416.jpg?background=000000&cropX1=645&cropX2=2738&cropY1=475&cropY2=2570
131,131,Xiao Yongming,Xiao,xiao-yongming,no-pic,2310,54,fertilizer,Diversified,M,
132,132,Chen Qingzhou,Chen,chen-qingzhou,no-pic,2300,53,communications equipment,Telecom,M,
133,132,Cheung Yan,Cheung,cheung-yan,cheung-yan,2300,61,paper manufacturing,Manufacturing,F,//specials-images.forbesimg.com/imageserve/5a7d1825a7ea431690130e64/416x416.jpg?background=000000&cropX1=629&cropX2=3286&cropY1=11&cropY2=2667
134,132,Shen Yuxing,Shen,shen-yuxing,no-pic,2300,60,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5bcfaddaa7ea43705914d9c5/416x416.jpg?background=000000&cropX1=2&cropX2=337&cropY1=56&cropY2=391
135,135,Chen Jinxia,Chen,chen-jinxia,no-pic-female,2290,50,investments,Finance and Investments,F,
136,136,Chen Hua,Chen,chen-hua-1,chen-hua-1,2280,53,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7bc51831358e4955ace3a9/416x416.jpg?background=000000&cropX1=6&cropX2=2735&cropY1=955&cropY2=3686
137,137,Lv Li,Lv,lv-li,no-pic-female,2270,42,Electronics,Technology,F,
138,138,Tong Jinquan,Tong,tong-jinquan,no-pic,2250,64,real estate,Real Estate,M,
139,139,Wu Zhigang,Wu,wu-zhigang,no-pic,2240,84,bakery chain,Food and Beverage,M,
140,140,Wang Yanqing,Wang,wang-yanqing,no-pic,2230,52,electrical equipment,Manufacturing,M,
141,141,Ren Zhengfei,Ren,ren-zhengfei,ren-zhengfei,2180,75,telecom equipment,Telecom,M,//specials-images.forbesimg.com/imageserve/5bcfc85f4bbe6f78bda5a21a/416x416.jpg?background=000000&cropX1=0&cropX2=1997&cropY1=129&cropY2=2126
142,142,Lin Li,Lin,lin-li,no-pic,2170,55,investments,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/58c338ac4bbe6f0e55885d28/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=118&cropY2=862
143,143,Li Liangbin,Li,li-liangbin,no-pic,2160,51,lithium,Manufacturing,M,
144,144,Shen Guojun,Shen,shen-guojun,shen-guojun,2130,56,retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a7cec0b31358e4955acfc0e/416x416.jpg?background=000000&cropX1=484&cropX2=1908&cropY1=142&cropY2=1566
145,145,Li Zhongchu,Li,li-zhongchu,no-pic,2120,55,software,Technology,M,
146,146,Geng Jianming,Geng,geng-jianming,geng-jianming,2110,56,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/fc83e75cfd66a510511d074e06658adc/416x416.jpg?background=000000&cropX1=0&cropX2=709&cropY1=52&cropY2=761
147,147,Huang Zhenda,Huang,huang-zhenda,huang-zhenda,2100,71,construction,Construction & Engineering,M,//specials-images.forbesimg.com/imageserve/102108d15afa7dd7e7a7e1fbcda3d866/416x416.jpg?background=000000&cropX1=129&cropX2=694&cropY1=151&cropY2=717
148,147,Liu Ming Hui,Liu,liu-ming-hui,liu-ming-hui,2100,56,natural gas distribution,Energy,M,//specials-images.forbesimg.com/imageserve/5a7cda0fa7ea431690130b75/416x416.jpg?background=000000&cropX1=1126&cropX2=3692&cropY1=63&cropY2=2627
149,147,Zhang Xiugen,Zhang,zhang-xiugen,no-pic,2100,58,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/589f2ba431358e1a35ab26e5/416x416.jpg?background=000000&cropX1=3&cropX2=689&cropY1=2&cropY2=688
150,150,Wang Xicheng,Wang,wang-xicheng,no-pic,2070,70,tires,Manufacturing,M,
151,151,Yuan Yafei,Yuan,yuan-yafei,yuan-yafei,2040,55,"retail, investments",Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a7d1d1a4bbe6f2652f5122c/416x416.jpg?background=000000&cropX1=10&cropX2=2400&cropY1=226&cropY2=2617
152,152,Cai Wensheng,Cai,cai-wensheng,no-pic,2030,49,photo sharing app,Technology,M,//specials-images.forbesimg.com/imageserve/5a7bbf214bbe6f2652f4f48f/416x416.jpg?background=000000&cropX1=1571&cropX2=3988&cropY1=223&cropY2=2639
153,152,Li Liufa,Li,li-liufa,li-liufa,2030,61,"steel, diversified",Diversified,M,//specials-images.forbesimg.com/imageserve/55d49edee4b0ffa7afe3f846/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=47&cropY2=788
154,152,Su Suyu,Su,su-suyu,no-pic-female,2030,70,"utilities, real estate",Real Estate,F,
155,152,Ye Cheng,Ye,ye-cheng,no-pic,2030,57,conglomerate,Diversified,M,
156,156,Mao Lixiang,Mao,mao-lixiang,no-pic,2000,78,cooking appliances,Technology,M,//specials-images.forbesimg.com/imageserve/5a875b264bbe6f2652f5cbad/416x416.jpg?background=000000&cropX1=0&cropX2=1360&cropY1=110&cropY2=1471
157,157,Jiang Yehua,Jiang,jiang-yehua,jiang-yehua,1990,56,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d078d4bbe6f0e55866b49/416x416.jpg?background=000000&cropX1=60&cropX2=562&cropY1=79&cropY2=582
158,157,Zhu Baoguo,Zhu,zhu-baoguo,zhu-baoguo,1990,56,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/589f386aa7ea431f3219482d/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=18&cropY2=758
159,159,Cheng Xue,Cheng,cheng-xue,no-pic-female,1960,48,soy sauce,Food and Beverage,F,
160,159,Zhou Yaoting,Zhou,zhou-yaoting,no-pic,1960,75,"apparel, real estate",Diversified,M,
161,161,Li Xiting,Li,li-xiting,no-pic,1950,68,medical devices,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a8df8dc31358e4955adffa6/416x416.jpg?background=000000&cropX1=491&cropX2=3171&cropY1=0&cropY2=2677
162,162,Wang Zhenhua,Wang,wang-zhenhua,no-pic,1940,56,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7d074831358e4955acfcd6/416x416.jpg?background=000000&cropX1=15&cropX2=474&cropY1=136&cropY2=595
163,163,An Kang,An,an-kang,an-kang,1930,70,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a7bbd8831358e4955ace31a/416x416.jpg?background=000000&cropX1=377&cropX2=2396&cropY1=55&cropY2=2073
164,163,Wu Liangding,Wu,wu-liangding,no-pic,1930,72,wheel production,Automotive,M,
165,165,Chen Qixing,Chen,chen-qixing,no-pic,1910,59,electronics components,Technology,M,
166,166,Huang Hongyun,Huang,huang-hongyun,huang-hongyun,1900,52,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7cb74031358e4955acf786/416x416.jpg?background=000000&cropX1=644&cropX2=3465&cropY1=12&cropY2=2832
167,166,Ning Tang,Tang,ning-tang,no-pic,1900,45,online lending,Finance and Investments,M,
168,166,Zheng Yuewen,Zheng,zheng-yuewen,zheng-yuewen,1900,57,investments,Diversified,M,//specials-images.forbesimg.com/imageserve/56c68422e4b062f6b59a143c/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=31&cropY2=774
169,169,Dong Wei,Dong,dong-wei-2,no-pic,1890,48,pharmaceuticals,Healthcare,M,
170,169,Hu Kaijun,Hu,hu-kaijun,no-pic,1890,57,pharmaceuticals,Healthcare,M,
171,169,Miao Shouliang,Miao,miao-shouliang,miao-shouliang,1890,64,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d2e55a7ea431f32192a5e/416x416.jpg?background=000000&cropX1=29&cropX2=723&cropY1=103&cropY2=798
172,172,Huang Yi,Huang,huang-yi,no-pic,1870,57,auto distribution,Automotive,M,//specials-images.forbesimg.com/imageserve/601330d5e69781741753b1f2f5975025/416x416.jpg?background=000000&cropX1=52&cropX2=333&cropY1=13&cropY2=294
173,172,Sun Qinghuan,Sun,sun-qinghuan,no-pic,1870,45,lighting,Technology,M,
174,172,Zhang Daocai,Zhang,zhang-daocai,no-pic,1870,69,valves,Diversified,M,
175,175,Wei Shaojun,Wei,wei-shaojun,wei-shaojun,1860,56,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/6831d2c5e08db906f140f99ef0391369/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
176,176,Wu Guangming,Wu,wu-guangming,wu-guangming,1850,56,medical equipment,Healthcare,M,//specials-images.forbesimg.com/imageserve/88d81f9606a4339ce991b3b4fe569c67/416x416.jpg?background=000000&cropX1=68&cropX2=738&cropY1=93&cropY2=763
177,177,Chen Dejun,Chen,chen-dejun,no-pic,1840,48,package delivery,Logistics,M,//specials-images.forbesimg.com/imageserve/5a7bc3aaa7ea43169012f455/416x416.jpg?background=000000&cropX1=1668&cropX2=3076&cropY1=179&cropY2=1585
178,178,Xie Zhikun,Xie,xie-zhikun,no-pic,1830,58,investments,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/58135cee31358e2383163cfc/416x416.jpg?background=000000&cropX1=126&cropX2=677&cropY1=89&cropY2=640
179,179,Wang Wenjing,Wang,wang-wenjing,wang-wenjing,1820,54,business software,Technology,M,//specials-images.forbesimg.com/imageserve/589de75931358e1a35ab137c/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=44&cropY2=787
180,179,Wong Luen Hei,Wong,wong-luen-hei,wong-luen-hei,1820,57,building materials,Manufacturing,M,//specials-images.forbesimg.com/imageserve/561fbe7de4b0ffa7afe5e598/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=5&cropY2=749
181,181,Lin Jianhua,Lin,lin-jianhua,lin-jianhua,1810,56,solar panel components,Manufacturing,M,//specials-images.forbesimg.com/imageserve/56c704e4e4b062f6b59a187d/416x416.jpg?background=000000&cropX1=0&cropX2=742&cropY1=208&cropY2=951
182,181,Wang Changtian,Wang,wang-changtian,wang-changtian,1810,53,"TV, movie production",Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/5a7cf2ad4bbe6f2652f510b3/416x416.jpg?background=000000&cropX1=3&cropX2=1134&cropY1=6&cropY2=1138
183,181,Wu Xushun,Wu,wu-xushun,no-pic,1810,70,"internet, auto parts",Diversified,M,
184,184,Liu Zhiqiang,Liu,liu-zhiqiang,liu-zhiqiang,1800,54,conglomerate,Diversified,M,
185,184,Ma Hong,Ma,ma-hong,no-pic,1800,51,fashion retail,Fashion & Retail,M,
186,184,Wong Kwong Yu,Wong,wong-kwong-yu,wong-kwong-yu,1800,49,retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a7d09b131358e4955acfcf0/416x416.jpg?background=000000&cropX1=9&cropX2=1559&cropY1=33&cropY2=1584
187,187,Cui Genliang,Cui,cui-genliang,cui-genliang,1790,60,electric components,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589cf15ba7ea431f32192819/416x416.jpg?background=000000&cropX1=13&cropX2=715&cropY1=84&cropY2=787
188,187,Ke Xiping,Ke,ke-xiping,ke-xiping,1790,58,investments,Diversified,M,//specials-images.forbesimg.com/imageserve/56292849e4b0ffa7afe6288d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=6&cropY2=750
189,187,Wang Qingtao,Wang,wang-qingtao,no-pic,1790,56,steel smelting,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/589de4a6a7ea431f3219329f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=126&cropY2=870
190,190,Li Ge,Li,li-ge-1,no-pic,1780,52,biotech,Healthcare,M,//specials-images.forbesimg.com/imageserve/5bcfb28831358e5b43344b98/416x416.jpg?background=000000&cropX1=212&cropX2=1781&cropY1=502&cropY2=2073
191,190,Yi Zheng,Yi,yi-zheng,no-pic,1780,48,software,Technology,M,
192,192,Su Weizhong,Su,su-weizhong,no-pic,1770,50,"oil, fertilizers",Energy,M,
193,193,Dou Zhenggang,Dou,dou-zhenggang,no-pic,1760,65,"energy, chemicals",Diversified,M,
194,193,Li Hongxin,Li,li-hongxin,no-pic,1760,65,paper & related products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/bcf772256ab66402949eef9d69e6e20f/416x416.jpg?background=000000&cropX1=2&cropX2=600&cropY1=0&cropY2=598
195,193,Li San Yim,Li,li-san-yim,li-san-yim,1760,69,construction equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/97b447d9341c0dc4243090e2375556f3/416x416.jpg?background=000000&cropX1=8&cropX2=617&cropY1=10&cropY2=619
196,196,Wang Jianfeng,Wang,wang-jianfeng,no-pic,1740,49,auto parts,Automotive,M,
197,196,Wang Qunbin,Wang,wang-qunbin,no-pic,1740,49,conglomerate,Diversified,M,//specials-images.forbesimg.com/imageserve/5a7cf9434bbe6f2652f510e6/416x416.jpg?background=000000&cropX1=1931&cropX2=3868&cropY1=662&cropY2=2598
198,196,Zhang Xuansong,Zhang,zhang-xuansong,zhang-xuansong,1740,47,supermarket,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a875e204bbe6f2652f5cc36/416x416.jpg?background=000000&cropX1=115&cropX2=1725&cropY1=348&cropY2=1960
199,199,Liu Hanyuan,Liu,liu-hanyuan,no-pic,1730,55,agribusiness,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/589d23b131358e1a35ab0b56/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=90&cropY2=831
200,199,Yang Erzhu,Yang,yang-erzhu,no-pic,1730,68,real estate,Real Estate,M,
201,201,Zhou Xiaoguang,Zhou,zhou-xiaoguang,zhou-xiaoguang,1720,57,real estate,Real Estate,F,//specials-images.forbesimg.com/imageserve/f3003f57a1ce583755a240f1d66540ee/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=85&cropY2=826
202,202,Chen Xiaoying,Chen,chen-xiaoying,no-pic-female,1700,42,package delivery,Logistics,F,
203,202,Chen Xueli,Chen,chen-xueli,no-pic,1700,67,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a7c85daa7ea43169013019b/416x416.jpg?background=000000&cropX1=527&cropX2=2418&cropY1=8&cropY2=1897
204,202,Kong Jian Min,Kong,kong-jian-min,kong-jian-min,1700,51,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58a658d831358e1a35ab8d3a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754
205,205,Chen Feng,Chen,chen-feng-1,no-pic,1690,65,conglomerate,Diversified,M,
206,205,Du Weimin,Du,du-weimin,no-pic,1690,55,vaccines,Healthcare,M,
207,205,Wang Jian,Wang,wang-jian-3,no-pic,1690,57,conglomerate,Diversified,M,
208,205,Wu Yulan,Wu,wu-yulan,no-pic-female,1690,49,pharmaceuticals,Healthcare,F,
209,209,Liang Yunchao,Liang,liang-yunchao,liang-yunchao,1680,50,nutrition supplements,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/05045a69750222dbe55bce25e523ad1c/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=224&cropY2=965
210,210,Chen Zhuolin,Chen,chen-zhuolin,chen-zhuolin,1670,56,real estate,Real Estate,M,
211,211,Yuan Fugen,Yuan,yuan-fugen,no-pic,1660,68,metal processing,Manufacturing,M,
212,212,Li Yong,Li,li-yong-1,no-pic,1650,41,chemicals,Manufacturing,M,
213,212,Xu Hang,Xu,xu-hang,no-pic,1650,52,medical devices,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a8dfac04bbe6f2652f62cb1/416x416.jpg?background=000000&cropX1=727&cropX2=3713&cropY1=0&cropY2=2984
214,212,Yang Meirong,Yang,yang-meirong,no-pic-female,1650,,education,Service,F,
215,212,Zhao Yan,Zhao,zhao-yan,no-pic-female,1650,52,"real estate, finance",Diversified,F,
216,216,Jiang Yintai,Jiang,jiang-yintai,no-pic,1640,68,auto parts,Automotive,M,
217,216,Pan Weiming,Pan,pan-weiming,pan-weiming,1640,55,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/56c7548ee4b062f6b59a1c94/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=5&cropY2=748
218,218,Lam Lung On,Lam,lam-lung-on,no-pic,1630,54,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d0b2c31358e1a35ab0acb/416x416.jpg?background=000000&cropX1=21&cropX2=715&cropY1=56&cropY2=751
219,218,William Li,Li,william-li,no-pic,1630,44,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/5a86c00e31358e4955ad9b06/416x416.jpg?background=000000&cropX1=446&cropX2=2439&cropY1=9&cropY2=2000
220,218,Liu Baolin,Liu,liu-baolin,liu-baolin,1630,65,pharmacies,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/0cbb1af7d866aae7ae316d58d6f367e8/416x416.jpg?background=000000&cropX1=81&cropX2=741&cropY1=5&cropY2=666
221,218,Zhou Chengjian,Zhou,zhou-chengjian,zhou-chengjian,1630,53,fashion retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a7d285331358e4955acfe2b/416x416.jpg?background=000000&cropX1=1821&cropX2=5472&cropY1=0&cropY2=3648
222,222,He Ningning,He,he-ningning,no-pic,1620,48,manufacturing,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7cb3fd31358e4955acf720/416x416.jpg?background=000000&cropX1=0&cropX2=339&cropY1=46&cropY2=385
223,222,Huang Chulong,Huang,huang-chulong,huang-chulong,1620,60,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7bac5a4bbe6f2652f4f33d/416x416.jpg?background=000000&cropX1=9&cropX2=1944&cropY1=139&cropY2=2073
224,222,Zhang Wanzhen,Zhang,zhang-wanzhen,no-pic,1620,69,electronic components,Manufacturing,M,
225,225,Chi Yufeng,Chi,chi-yufeng,no-pic,1610,48,software,Technology,M,//specials-images.forbesimg.com/imageserve/5a7c866da7ea4316901301c5/416x416.jpg?background=000000&cropX1=2189&cropX2=5760&cropY1=247&cropY2=3816
226,225,Sun Shoukuan,Sun,sun-shoukuan,sun-shoukuan,1610,69,metals. coal,Manufacturing,M,//specials-images.forbesimg.com/imageserve/64f4574ad7b5505ab16f5d497d87e711/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=5&cropY2=746
227,227,Li Weiwei,Li,li-weiwei,no-pic,1600,42,online games,Technology,M,
228,227,Wang Chaobin,Wang,wang-chaobin,wang-chaobin,1600,63,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/562e5709e4b0ffa7afe645de/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=103&cropY2=846
229,229,Chan Hung To,Chan,chan-hung-to,no-pic,1590,,beverages,Food and Beverage,M,
230,229,Huo Qinghua,Huo,huo-qinghua,no-pic,1590,57,coal,Energy,M,
231,229,Jiang Wei,Jiang,jiang-wei,jiang-wei,1590,57,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/f9d6a064550c4c3c3bda90dae6c1efe2/416x416.jpg?background=000000&cropX1=39&cropX2=744&cropY1=32&cropY2=738
232,232,Che Fengsheng,Che,che-fengsheng,che-fengsheng,1570,56,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/871285167e7dcc8b92191ae50f6c442b/416x416.jpg?background=000000&cropX1=27&cropX2=695&cropY1=0&cropY2=669
233,232,Cheng Xianfeng,Cheng,cheng-xianfeng,no-pic,1570,50,pharmaceuticals,Healthcare,M,
234,232,Tse Ping,Tse,tse-ping,tse-ping,1570,67,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/5bcfb7584bbe6f78bda5a116/416x416.jpg?background=000000&cropX1=609&cropX2=3747&cropY1=0&cropY2=3136
235,235,Wang Muqing,Wang,wang-muqing,no-pic,1560,68,auto distribution,Automotive,M,
236,235,Zhang Guiping,Zhang,zhang-guiping,zhang-guiping,1560,67,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/beb773dd7c933c68e881a0d5b72f89ae/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
237,235,Zhu Wenchen,Zhu,zhu-wenchen,zhu-wenchen,1560,53,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/2ab35b49b2ece993fb88ee046c098dea/416x416.jpg?background=000000&cropX1=42&cropX2=744&cropY1=44&cropY2=747
238,238,Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,1550,45,online games,Technology,M,
239,238,Qi Jinxing,Qi,qi-jinxing,qi-jinxing,1550,56,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7ce86231358e4955acfbed/416x416.jpg?background=000000&cropX1=28&cropX2=3368&cropY1=952&cropY2=4290
240,238,Zhang Cheng Fei,Zhang,zhang-cheng-fei,no-pic,1550,51,paper & related products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7d201f31358e4955acfda0/416x416.jpg?background=000000&cropX1=16&cropX2=645&cropY1=127&cropY2=756
241,241,Hu Baifan,Hu,hu-baifan,hu-baifan,1540,56,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a7cb6284bbe6f2652f508cd/416x416.jpg?background=000000&cropX1=2&cropX2=1125&cropY1=20&cropY2=1144
