position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
242,242,Zhuang Kuilong,Zhuang,zhuang-kuilong,no-pic,1530,56,polyester,Manufacturing,M,
243,243,Peng Hao,Peng,peng-hao,no-pic,1510,51,electronics,Manufacturing,M,
244,243,Zeng Kaitian,Zeng,zeng-kaitian,no-pic,1510,44,online games,Technology,M,
245,245,Hoi Kin Hong,Hoi,hoi-kin-hong,no-pic,1500,66,real estate,Real Estate,M,
246,245,Huang Qiaoling,Huang,huang-qiaoling,huang-qiaoling,1500,60,amusement parks,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/56c68b36e4b062f6b59a1448/416x416.jpg?background=000000&cropX1=0&cropX2=731&cropY1=124&cropY2=856
247,245,Li Yihai,Li,li-yihai,no-pic,1500,56,pharmaceuticals,Healthcare,M,
248,245,Shuai Fangwen,Shuai,shuai-fangwen,no-pic,1500,52,pharmaceuticals,Healthcare,M,
249,245,Xu Qiming,Xu,xu-qiming,xu-qiming,1500,55,"food, art",Diversified,M,//specials-images.forbesimg.com/imageserve/363e7bc321591a10e36706087ef904de/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=348&cropY2=1091
250,245,Zhang Tao,Zhang,zhang-tao,no-pic,1500,46,e-commerce,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a875da14bbe6f2652f5cc16/416x416.jpg?background=000000&cropX1=790&cropX2=3782&cropY1=244&cropY2=3234
251,251,Ruan Shuilong,Ruan,ruan-shuilong,no-pic,1490,83,chemicals,Manufacturing,M,
252,251,Wang Jinshu,Wang,wang-jinshu,no-pic,1490,62,chemicals,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7cf76431358e4955acfc4b/416x416.jpg?background=000000&cropX1=0&cropX2=2832&cropY1=165&cropY2=2999
253,251,Wu Yiling,Wu,wu-yiling,wu-yiling,1490,69,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/52fe6d2bf24e45432177784f7e1b8666/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=66&cropY2=810
254,251,Zhou Hongyi,Zhou,zhou-hongyi,zhou-hongyi,1490,48,security software,Technology,M,//specials-images.forbesimg.com/imageserve/936450a91a016db56ea72c10985090a2/416x416.jpg?background=000000&cropX1=8&cropX2=733&cropY1=18&cropY2=743
255,255,Min Luo,Luo,min-luo,no-pic,1480,36,Online finance,Finance and Investments,,
256,255,Wang Jiufang,Wang,wang-jiufang,no-pic,1480,55,real estate,Real Estate,M,
257,255,Wu Xu,Wu,wu-xu,no-pic,1480,55,real estate,Real Estate,M,
258,258,Miao Hangen,Miao,miao-hangen,miao-hangen,1470,54,"textiles, petrochemicals",Diversified,M,
259,258,Wang Qicheng,Wang,wang-qicheng,no-pic,1470,39,entertainment,Technology,M,//specials-images.forbesimg.com/imageserve/589de3ca4bbe6f0e5586748c/416x416.jpg?background=000000&cropX1=52&cropX2=661&cropY1=52&cropY2=661
260,260,Li Zongsong,Li,li-zongsong,no-pic,1460,51,pharmaceuticals,Healthcare,M,
261,260,Nan Cunhui,Nan,nan-cunhui,nan-cunhui,1460,55,power equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/56290bf2e4b0ffa7afe625bf/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=377&cropY2=1120
262,260,Zhou Liangzhang,Zhou,zhou-liangzhang,no-pic,1460,56,electrical equipment,Manufacturing,M,
263,263,Jiang Zhaobai,Jiang,jiang-zhaobai,jiang-zhaobai,1440,55,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/562921a9e4b0ffa7afe6282b/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=13&cropY2=756
264,263,Wang Jianyi,Wang,wang-jianyi,wang-jianyi,1440,56,fiber optic cables,Technology,M,
265,263,Zhang Jingzhang,Zhang,zhang-jingzhang,no-pic,1440,83,precision machinery,Manufacturing,M,
266,266,Lou Zhongfu,Lou,lou-zhongfu,lou-zhongfu,1430,65,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/562a8f82e4b0ffa7afe63754/416x416.jpg?background=000000&cropX1=121&cropX2=744&cropY1=187&cropY2=811
267,266,Tang Yan,Tang,tang-yan,no-pic,1430,40,social media,Technology,M,
268,266,Yu Rong,Yu,yu-rong,no-pic,1430,47,health clinics,Healthcare,M,
269,269,Cai Dongqing,Cai,cai-dongqing-2,cai-dongqing-2,1420,49,animation,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/97e2cea696b6caa82e72ce79f52e4303/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=64&cropY2=807
270,269,Lin Dingqiang,Lin,lin-dingqiang,no-pic,1420,52,real estate,Real Estate,M,
271,269,Xiao Chunhong,Xiao,xiao-chunhong,no-pic,1420,51,real estate,Real Estate,M,
272,272,Chen Ningning,Chen,chen-ningning,chen-ningning,1410,48,minerals,Metals & Mining,F,
273,272,Jiang Xuefei,Jiang,jiang-xuefei,no-pic,1410,49,printed circuit boards,Technology,M,
274,272,Zheng Jianjiang,Zheng,zheng-jianjiang,zheng-jianjiang,1410,58,electrical equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/562a57ede4b0ffa7afe63004/416x416.jpg?background=000000&cropX1=105&cropX2=744&cropY1=82&cropY2=722
275,275,Ou Zongrong,Ou,ou-zongrong,ou-zongrong,1400,55,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7ce3cd31358e4955acfbb2/416x416.jpg?background=000000&cropX1=11&cropX2=1812&cropY1=155&cropY2=1956
276,275,Wang Linpeng,Wang,wang-linpeng,no-pic,1400,50,furniture retailing,Construction & Engineering,M,
277,275,Zhou Yifeng,Zhou,zhou-yifeng-1,no-pic,1400,50,chemicals,Manufacturing,M,
278,275,Zhou Zongwen,Zhou,zhou-zongwen,no-pic,1400,61,jewelry,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a8dfecaa7ea4316901410ba/416x416.jpg?background=000000&cropX1=16&cropX2=1798&cropY1=89&cropY2=1873
279,279,Fu Mingkang,Fu,fu-mingkang,no-pic,1390,55,manufacturing,Manufacturing,M,
280,280,Que Wenbin,Que,que-wenbin,no-pic,1380,55,pharmaceuticals,Healthcare,M,
281,280,Wen Jianping,Wen,wen-jianping,wen-jianping,1380,56,sewage treatment,Service,M,//specials-images.forbesimg.com/imageserve/888de6700061e95179d28f706cfe2196/416x416.jpg?background=000000&cropX1=50&cropX2=697&cropY1=0&cropY2=648
282,282,Bu Yang,Bu,bu-yang,no-pic-female,1370,,retail,Fashion & Retail,F,
283,283,Wang Liping,Wang,wang-liping,no-pic,1360,52,hydraulic machinery,Manufacturing,M,
284,284,Bo Shijiu,Bo,bo-shijiu,no-pic,1350,54,logsitics,Logistics,M,
285,284,Zhao Weiguo,Zhao,zhao-weiguo,no-pic,1350,52,IT products,Technology,M,//specials-images.forbesimg.com/imageserve/589f2d6e31358e1a35ab274c/416x416.jpg?background=000000&cropX1=43&cropX2=703&cropY1=192&cropY2=853
286,286,Fu Guangming,Fu,fu-guangming,fu-guangming,1340,65,poultry,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/562e5762e4b0ffa7afe645e2/416x416.jpg?background=000000&cropX1=0&cropX2=676&cropY1=171&cropY2=848
287,286,Huang Xiaofen,Huang,huang-xiaofen,no-pic-female,1340,57,printed circuit boards,Technology,F,
288,286,Huang Zhuangmian,Huang,huang-zhuangmian,no-pic,1340,48,logistics,Logistics,M,
289,286,Li Jiaquan,Li,li-jiaquan,no-pic,1340,55,chemicals,Manufacturing,M,
290,286,Shum Chiu Hung,Shum,shum-chiu-hung,no-pic,1340,49,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a8df65b31358e4955adff84/416x416.jpg?background=000000&cropX1=189&cropX2=1135&cropY1=0&cropY2=945
291,291,Gao Yunfeng,Gao,gao-yunfeng,no-pic,1330,51,industrial lasers,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a8df770a7ea431690141002/416x416.jpg?background=000000&cropX1=187&cropX2=1715&cropY1=102&cropY2=1630
292,291,Liu Zhenguo,Liu,liu-zhenguo,no-pic,1330,53,sewage treatment,Service,M,
293,291,Su Rubo,Su,su-rubo,no-pic,1330,64,real estate,Real Estate,M,
294,294,Jiang Ganjun,Jiang,jiang-ganjun,no-pic,1320,55,home & office products,Manufacturing,M,
295,294,Wen Yibo,Wen,wen-yibo,wen-yibo,1320,53,wastewater treatment,Service,M,//specials-images.forbesimg.com/imageserve/5a7d08c7a7ea431690130db0/416x416.jpg?background=000000&cropX1=823&cropX2=3492&cropY1=0&cropY2=2667
296,294,Yu Peidi,Yu,yu-peidi,yu-peidi,1320,59,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/1bd57d61bff2fbf42cc46b5d3d2a4bd6/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=3&cropY2=747
297,294,Zhou Yongli,Zhou,zhou-yongli,no-pic,1320,64,conglomerate,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589f2ffda7ea431f321947f2/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=5&cropY2=746
298,298,Gu Wei,Gu,gu-wei,no-pic,1310,53,consumer electronics,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a97219931358e79a28a9b01/416x416.jpg?background=000000&cropX1=120&cropX2=4005&cropY1=549&cropY2=4432
299,298,Shao Qinxiang,Shao,shao-qinxiang,no-pic,1310,64,diversified,Manufacturing,M,
300,298,Sit Kwong Lam,Sit,sit-kwong-lam,sit-kwong-lam,1310,50,"oil, transportation",Energy,M,//specials-images.forbesimg.com/imageserve/5a7e75d331358e4955ad1477/416x416.jpg?background=000000&cropX1=292&cropX2=2945&cropY1=677&cropY2=3328
301,298,Xu Ziquan,Xu,xu-ziquan,no-pic,1310,60,software,Technology,M,
302,298,Yan Yude,Yan,yan-yude,no-pic,1310,58,private schools,Service,M,
303,303,Liang Guangwei,Liang,liang-guangwei,no-pic,1300,55,conglomerate,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7cd16631358e4955acfa40/416x416.jpg?background=000000&cropX1=459&cropX2=3130&cropY1=11&cropY2=2684
304,303,Ou Xueming,Ou,ou-xueming,no-pic,1300,70,real estate,Real Estate,M,
305,303,Tang Jianfang,Tang,tang-jianfang,no-pic-female,1300,,packaged foods,Food and Beverage,F,
306,303,Wang Yong,Wang,wang-yong,wang-yong,1300,68,food sweeteners,Food and Beverage,M,
307,307,Don Gao,Gao,don-gao,no-pic,1290,53,power tools,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a971fefa7ea434a0c279871/416x416.jpg?background=000000&cropX1=80&cropX2=858&cropY1=571&cropY2=1348
308,307,Liu Jincheng,Liu,liu-jincheng,no-pic,1290,54,lithium batteries,Technology,M,//specials-images.forbesimg.com/imageserve/5a8df936a7ea431690141033/416x416.jpg?background=000000&cropX1=1340&cropX2=4798&cropY1=0&cropY2=3456
309,307,Zan Shengda,Zan,zan-shengda,zan-shengda,1290,55,diversified,Diversified,M,//specials-images.forbesimg.com/imageserve/5a7d1d8c4bbe6f2652f51243/416x416.jpg?background=000000&cropX1=216&cropX2=1272&cropY1=11&cropY2=1067
310,307,Zhou Bajin,Zhou,zhou-bajin,no-pic,1290,83,auto parts,Manufacturing,M,
311,311,Li Jun,Li,li-jun,no-pic,1280,54,electronics,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a8df7fda7ea43169014100c/416x416.jpg?background=000000&cropX1=13&cropX2=2109&cropY1=287&cropY2=2383
312,311,Li Rucheng,Li,li-rucheng,li-rucheng,1280,67,apparel,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a7cca7631358e4955acf926/416x416.jpg?background=000000&cropX1=1354&cropX2=3459&cropY1=5&cropY2=2108
313,311,Lu Di,Lu,lu-di,no-pic,1280,,drones,Technology,M,
314,311,Wang Jing,Wang,wang-jing,wang-jing,1280,46,telecom services,Telecom,M,//specials-images.forbesimg.com/imageserve/58864f9c5ce6b0e1785051fdc8c26f09/416x416.jpg?background=000000&cropX1=6&cropX2=740&cropY1=153&cropY2=888
315,315,Cai Rongjun,Cai,cai-rongjun,no-pic,1270,46,electronic components,Technology,M,
316,316,Qin Qingping,Qin,qin-qingping,no-pic,1260,55,coal & coke,Energy,M,
317,317,King Pak Fu,King,king-pak-fu,king-pak-fu,1250,49,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589f64fa4bbe6f0e55868ce7/416x416.jpg?background=000000&cropX1=134&cropX2=609&cropY1=68&cropY2=543
318,317,You Xiaoping,You,you-xiaoping,you-xiaoping,1250,60,"chemicals, spandex",Manufacturing,M,
319,317,Zhang Yubai,Zhang,zhang-yubai,no-pic,1250,54,wine,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/5a8dfe6a4bbe6f2652f62d58/416x416.jpg?background=000000&cropX1=0&cropX2=720&cropY1=44&cropY2=764
320,320,Lin Fanlian,Lin,lin-fanlian,no-pic,1240,57,gas,Energy,M,
321,320,Lu Renjun,Lu,lu-renjun,no-pic,1240,68,,Manufacturing,M,
322,320,Wang Yanqing,Wang,wang-yanqing-1,no-pic-female,1240,72,carbon fiber products,Manufacturing,F,
323,323,Chen Xiaxin,Chen,chen-xiaxin,no-pic,1230,56,industrial machinery,Diversified,M,
324,324,Han Tao,Han,han-tao,no-pic,1220,58,electronics components,Manufacturing,M,
325,324,He Simo,He,he-simo,no-pic,1220,53,power supply manufacturer,Manufacturing,M,
326,324,Hu Keqin,Hu,hu-keqin,no-pic,1220,60,chemicals,Diversified,M,//specials-images.forbesimg.com/imageserve/589cfe944bbe6f0e55866af7/416x416.jpg?background=000000&cropX1=111&cropX2=591&cropY1=276&cropY2=756
327,324,Ni Zhaoxing,Ni,ni-zhaoxing,ni-zhaoxing,1220,63,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/43372ee8b6ecf8e8d8264ccff8e54710/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=230&cropY2=974
328,324,Zhang Zhangsun,Zhang,zhang-zhangsun,zhang-zhangsun,1220,62,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/d1c69bd9f67afdb1778c9bb7d0975966/416x416.jpg?background=000000&cropX1=188&cropX2=615&cropY1=114&cropY2=541
329,329,Cao Kejian,Cao,cao-kejian,cao-kejian,1210,56,air compressors,Manufacturing,M,//specials-images.forbesimg.com/imageserve/49e29e276e6cce1a013720fcdb4c4bcc/416x416.jpg?background=000000&cropX1=0&cropX2=742&cropY1=127&cropY2=870
330,329,Fu Meicheng,Fu,fu-meicheng,fu-meicheng,1210,61,"TV shows, movies",Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/c117a242f07351ebadec8a87798f7239/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=89&cropY2=832
331,329,Huang Qisen,Huang,huang-qisen,huang-qisen,1210,54,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/1a05b8986b646b2656b8072ac5fd5f8b/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=35&cropY2=778
332,329,Wan Long,Wan,wan-long,wan-long,1210,78,food,Food and Beverage,M,
333,333,Cheng Wei,Cheng,cheng-wei,cheng-wei,1200,36,ride-hailing service,Service,M,//specials-images.forbesimg.com/imageserve/59162c8931358e03e5590c24/416x416.jpg?background=000000&cropX1=1046&cropX2=3177&cropY1=126&cropY2=2256
334,333,Lin Yi,Lin,lin-yi,no-pic,1200,,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d2183a7ea431f321929d0/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=129&cropY2=869
335,333,Neil Shen,Shen,neil-shen,neil-shen,1200,51,venture capital investing,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/56ec6894e4b0c144a7f79796/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=0&cropY2=743
336,333,Sun Yinhuan,Sun,sun-yinhuan,no-pic,1200,69,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589db1eca7ea431f32192f04/416x416.jpg?background=000000&cropX1=89&cropX2=730&cropY1=105&cropY2=746
337,333,Jane Yan,Yan,jane-yan,jane-yan,1200,49,software,Technology,F,//specials-images.forbesimg.com/imageserve/58c32b964bbe6f0e55885cca/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
338,333,Yang Tingdong,Yang,yang-tingdong,no-pic,1200,58,brewery,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/5a8dfb21a7ea43169014106c/416x416.jpg?background=000000&cropX1=5&cropX2=2336&cropY1=250&cropY2=2583
339,339,Huang Li,Huang,huang-li-1,huang-li-1,1190,55,imaging systems,Technology,M,//specials-images.forbesimg.com/imageserve/589d00f431358e1a35ab0a5f/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=23&cropY2=763
340,339,Lee Yin Yee,Lee,lee-yin-yee,no-pic,1190,67,glass,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a875a434bbe6f2652f5cb99/416x416.jpg?background=000000&cropX1=360&cropX2=1479&cropY1=168&cropY2=1288
341,339,Wang Wenbiao,Wang,wang-wenbiao,wang-wenbiao,1190,62,"natural gas, fertilizers",Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a875c0f4bbe6f2652f5cbc2/416x416.jpg?background=000000&cropX1=513&cropX2=2757&cropY1=182&cropY2=2424
342,339,Yang Zhimao,Yang,yang-zhimao,no-pic,1190,56,"utilities, real estate",Diversified,M,
343,343,Ou Zonghong,Ou,ou-zonghong,no-pic,1180,49,real estate,Real Estate,M,
344,344,Ai Lihua,Ai,ai-lihua,no-pic,1170,60,electrical equipment,Manufacturing,M,
345,344,Chen Bo,Chen,chen-bo,no-pic,1170,48,wind power generation,Energy,M,
346,344,Mi Enhua,Mi,mi-enhua,no-pic,1170,60,retail,Fashion & Retail,M,
347,344,Shang Jiyong,Shang,shang-jiyong,no-pic,1170,51,"tires, chemicals",Diversified,M,
348,344,Tian Ming,Tian,tian-ming,no-pic,1170,65,measuring instruments,Technology,M,
349,344,Xiu Laigui,Xiu,xiu-laigui,xiu-laigui,1170,64,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a7d1414a7ea431690130e10/416x416.jpg?background=000000&cropX1=11&cropX2=2402&cropY1=394&cropY2=2784
350,344,Yang Shaopeng,Yang,yang-shaopeng,no-pic,1170,61,Shipping,Logistics,M,//specials-images.forbesimg.com/imageserve/5a875cf5a7ea43169013b8e5/416x416.jpg?background=000000&cropX1=394&cropX2=2762&cropY1=290&cropY2=2656
351,344,Zhou Wenyu,Zhou,zhou-wenyu,no-pic,1170,54,real estate,Real Estate,M,
352,352,Chen Dakui,Chen,chen-dakui,no-pic,1160,67,shrink-wrap film,Manufacturing,M,
353,352,Hon Kwok Lung,Hon,hon-kwok-lung,no-pic,1160,63,real estate,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a7e6b7ba7ea431690132536/416x416.jpg?background=000000&cropX1=657&cropX2=3484&cropY1=6&cropY2=2832
354,352,Huang Bingwen,Huang,huang-bingwen,no-pic,1160,65,packaging,Manufacturing,M,
355,352,Lin Tianfu,Lin,lin-tianfu,lin-tianfu,1160,56,"footwear, apparel",Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5628f9d6e4b0ffa7afe624d4/416x416.jpg?background=000000&cropX1=79&cropX2=744&cropY1=3&cropY2=669
356,352,Liu Xuejing,Liu,liu-xuejing,liu-xuejing,1160,68,"copper, poultry",Diversified,M,//specials-images.forbesimg.com/imageserve/5a7cdbe9a7ea431690130bc1/416x416.jpg?background=000000&cropX1=269&cropX2=1703&cropY1=0&cropY2=1434
357,352,Wang Han,Wang,wang-han,no-pic,1160,31,airline,Diversified,M,
358,352,Xia Zuoquan,Xia,xia-zuoquan,xia-zuoquan,1160,57,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/43cf0251db56b4feefcd4ddd877d09ed/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=31&cropY2=772
359,352,Yan Xijun,Yan,yan-xijun,yan-xijun,1160,65,pharmaceuticals,Healthcare,M,
360,352,Yao Jinbo,Yao,yao-jinbo,yao-jinbo,1160,43,online marketplace,Technology,M,
361,352,Zhou Liwu,Zhou,zhou-liwu,no-pic,1160,56,water filters,Manufacturing,M,
362,362,Li Guoqiang,Li,li-guoqiang,no-pic,1150,55,auto dealerships,Automotive,M,
363,362,Li Xuhui,Li,li-xuhui,no-pic-female,1150,50,soy sauce maker,Food and Beverage,F,
364,362,Liu Bing,Liu,liu-bing,no-pic,1150,50,retail,Fashion & Retail,M,
365,362,Ma Yunsheng,Ma,ma-yunsheng,no-pic,1150,56,energy,Diversified,M,//specials-images.forbesimg.com/imageserve/589d2dde31358e1a35ab0bd8/416x416.jpg?background=000000&cropX1=8&cropX2=723&cropY1=0&cropY2=715
366,362,Peng Jianhu,Peng,peng-jianhu,no-pic,1150,62,tourism,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/5a7ce4d34bbe6f2652f50f9c/416x416.jpg?background=000000&cropX1=1566&cropX2=2400&cropY1=491&cropY2=1325
367,362,Wan Lianbu,Wan,wan-lianbu,no-pic,1150,53,fertilizers,Manufacturing,M,
368,362,Wang Junjin,Wang,wang-junjin,wang-junjin,1150,50,airline,Service,M,//specials-images.forbesimg.com/imageserve/56c74c69e4b062f6b59a1c03/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=2&cropY2=746
369,362,Zhang Zhirong,Zhang,zhang-zhirong,zhang-zhirong,1150,50,"real estate, shipbuilding",Diversified,M,//specials-images.forbesimg.com/imageserve/de34525958dbc6544d59b65b8b7f34a2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=0&cropY2=744
370,370,Cao Renxian,Cao,cao-renxian,no-pic,1140,50,photovoltaic equipment,Energy,M,
371,370,Chu Jinfu,Chu,chu-jinfu,no-pic,1140,61,electrical equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7c86f34bbe6f2652f500f2/416x416.jpg?background=000000&cropX1=9&cropX2=1956&cropY1=365&cropY2=2313
372,370,Lucy Peng,Peng,lucy-peng,lucy-peng,1140,46,e-commerce,Technology,F,//specials-images.forbesimg.com/imageserve/01ced083e93c20caaf0fcb876be45608/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=0&cropY2=743
373,373,Fang Tonghua,Fang,fang-tonghua,no-pic,1130,56,pharmaceuticals,Healthcare,M,
374,373,He Yamin,He,he-yamin,no-pic,1130,61,manufacturing,Manufacturing,M,
375,373,Li Guangyu,Li,li-guangyu,no-pic,1130,55,education,Service,M,
376,373,Wu Daohong,Wu,wu-daohong,no-pic,1130,53,energy services,Energy,M,//specials-images.forbesimg.com/imageserve/5a7d0a5331358e4955acfd18/416x416.jpg?background=000000&cropX1=167&cropX2=2744&cropY1=6&cropY2=2584
377,377,Chen Jinsong,Chen,chen-jinsong,chen-jinsong,1120,55,real estate,Real Estate,M,
378,377,Fu Kwan,Fu,fu-kwan,fu-kwan,1120,61,"real estate, diversified",Diversified,M,//specials-images.forbesimg.com/imageserve/562a69d7e4b0ffa7afe6323f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=50&cropY2=794
379,377,Swift Xie,Xie,swift-xie,no-pic,1120,,drones,Technology,M,
380,377,Xu Jingen,Xu,xu-jingen,no-pic,1120,49,precision metallic components,Manufacturing,M,
381,377,Zhu Xingming,Zhu,zhu-xingming,no-pic,1120,51,electrical equipment,Manufacturing,M,
382,382,Li Zhen,Li,li-zhen,no-pic,1110,54,lithium batteries,Manufacturing,M,
383,383,Jin Huiming,Jin,jin-huiming,no-pic,1100,66,real estate,Real Estate,M,
384,383,Lin Zhixiong,Lin,lin-zhixiong,no-pic,1100,45,medical devices,Healthcare,M,
385,383,Jonathan Lu,Lu,jonathan-lu,no-pic,1100,50,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5a7cc1184bbe6f2652f50974/416x416.jpg?background=000000&cropX1=1164&cropX2=2583&cropY1=164&cropY2=1582
386,383,Lu Yonghua,Lu,lu-yonghua,lu-yonghua,1100,55,electronics,Technology,M,
387,383,Chanchai Ruayrungruang,Ruayrungruang,chanchai-ruayrungruang,chanchai-ruayrungruang,1100,65,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7bc0924bbe6f2652f4f4db/416x416.jpg?background=000000&cropX1=0&cropX2=840&cropY1=100&cropY2=940
388,383,Xue Hua,Xue,xue-hua,no-pic,1100,49,Agribusiness,Manufacturing,M,
389,383,Yang Jianxin,Yang,yang-jianxin,no-pic,1100,49,apparel,Technology,M,
390,383,Yao Xinyi,Yao,yao-xinyi,yao-xinyi,1100,54,air conditioning,Diversified,M,//specials-images.forbesimg.com/imageserve/064a602f59f8656c7e2a1765a579be37/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=219&cropY2=963
391,391,Li Qiong,Li,li-qiong,no-pic-female,1090,41,online games,Technology,F,
392,391,Lo Siu Yu,Lo,lo-siu-yu,no-pic,1090,49,conglomerate,Diversified,M,
393,393,Fang Hongbo,Fang,fang-hongbo,no-pic,1080,52,home appliances,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a8751a34bbe6f2652f5cacf/416x416.jpg?background=000000&cropX1=863&cropX2=3423&cropY1=109&cropY2=2667
394,393,Wen Pengcheng,Wen,wen-pengcheng,no-pic,1080,56,agribusiness,Food and Beverage,M,
395,395,Cai Xiaoru,Cai,cai-xiaoru,no-pic,1070,39,electronic components,Technology,M,
396,395,Li Weiguo,Li,li-weiguo,no-pic,1070,54,construction materials,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a8df8614bbe6f2652f62c5c/416x416.jpg?background=000000&cropX1=19&cropX2=2906&cropY1=905&cropY2=3794
397,395,Lin Zhijun,Lin,lin-zhijun,no-pic,1070,43,medical devices,Healthcare,M,
398,395,Liu Zhendong,Liu,liu-zhendong,no-pic,1070,48,industrial parks,Service,M,
399,395,Wang Zhenghua,Wang,wang-zhenghua,wang-zhenghua,1070,74,budget airline,Service,M,//specials-images.forbesimg.com/imageserve/5a7d055da7ea431690130d9b/416x416.jpg?background=000000&cropX1=881&cropX2=4133&cropY1=14&cropY2=3264
400,395,Zhang Xinghai,Zhang,zhang-xinghai,no-pic,1070,56,machinery,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7d23ac4bbe6f2652f51271/416x416.jpg?background=000000&cropX1=4&cropX2=1645&cropY1=43&cropY2=1684
